timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763344016395,2162,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-21,text,true,,669,224,28,48,http://localhost:8080/usuarios/login,2161,0,0
1763344016388,2198,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-8,text,true,,1799,224,20,47,http://localhost:8080/usuarios/login,2198,0,0
1763344018586,0,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-8,text,true,,1130,0,20,47,null,0,0,0
1763344016210,2381,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-12,text,true,,669,224,27,47,http://localhost:8080/usuarios/login,2381,0,0
1763344016418,2211,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-22,text,true,,669,224,26,46,http://localhost:8080/usuarios/login,2211,0,1
1763344016233,2530,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-13,text,true,,669,224,25,45,http://localhost:8080/usuarios/login,2530,0,1
1763344016802,1974,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-16,text,true,,1800,224,20,44,http://localhost:8080/usuarios/login,1972,0,0
1763344018776,0,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-16,text,true,,1131,0,20,44,null,0,0,0
1763344016272,2556,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-15,text,true,,669,224,24,44,http://localhost:8080/usuarios/login,2547,0,0
1763344016731,2145,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-37,text,true,,669,224,23,43,http://localhost:8080/usuarios/login,2145,0,0
1763344016809,2074,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-42,text,true,,669,224,22,42,http://localhost:8080/usuarios/login,2074,0,0
1763344016435,2451,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-23,text,true,,669,224,21,41,http://localhost:8080/usuarios/login,2451,0,6
1763344016845,2066,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-17,text,true,,1800,224,20,40,http://localhost:8080/usuarios/login,2062,0,1
1763344018911,0,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-17,text,true,,1131,0,20,40,null,0,0,0
1763344016610,2322,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-32,text,true,,669,224,20,40,http://localhost:8080/usuarios/login,2322,0,7
1763344016480,2472,POST/Token - /usuarios/login/,200,,Capacita - 50 RPS 1-25,text,true,,669,224,19,39,http://localhost:8080/usuarios/login,2472,0,1
1763344016936,2101,POST/Token - /usuarios/login/,200,,FE - 20 RPS (Page Load) 2-19,text,true,,1800,224,20,38,http://localhost:8080/usuarios/login,2098,0,21
1763344019036,1,POST/Token - /usuarios/login/-0,200,OK,FE - 20 RPS (Page Load) 2-19,text,true,,1131,0,20,38,null,0,0,0
